UniqueCount	AmbigCount
0	67945634
0	46077022
0	11156741
0	49507
0	117569
0	7779533
0	3825
0	977
0	380
0	177
0	103
0	55
0	36
0	26
0	71
0	12
0	10
0	13
0	1
0	33
0	155
0	43
0	9
0	8
0	111
0	6
0	38
0	4
0	1
0	0
0	9
0	979
0	383
0	385
0	300
0	298
0	199
0	251
0	93
0	1
0	1
0	1
0	0
0	36
0	3
0	3
0	5
0	16
0	1
0	2
0	27
0	99
0	78
0	70
0	41
0	68
0	48
0	39
0	54
0	58
0	16
0	14
0	14
0	7
0	8
0	87
0	12
0	0
0	0
0	43
0	86
0	8
0	1
0	2
0	6
0	28
0	46
0	2
0	4
0	23
0	5
0	0
0	8
0	10
0	1
0	4
0	0
0	0
0	1642
0	12182
0	100390
0	240
0	5109
0	84
0	12731
0	4000
0	0
0	33
0	624
0	8
0	1
0	1
0	18
0	12
0	34
0	30
0	1
0	8
0	11
0	0
0	0
0	10
0	2
0	8
0	9
0	1
0	3
0	2
0	5
0	21
0	5
0	7
0	3
0	16
0	8
0	9
0	9
0	4
0	428
0	28
0	28
0	33
0	20
0	14
0	82
0	36
0	24
0	25
0	5
0	10
0	13
0	42
0	13
0	6
0	10
0	2
0	0
0	0
0	13
0	1
0	16
0	1
0	0
0	0
0	0
0	137
0	135
0	142
0	142
0	140
0	142
0	135
0	135
0	135
0	137
0	35
0	1
0	11
0	5
0	4
0	609
0	1662
0	1509
0	1
0	411
0	49
0	222
0	195
0	61
0	72
0	20
0	17
0	16
0	16
0	2
0	6
0	6
0	6
0	6
0	4
0	7
0	7
0	11
0	5
0	172
0	139
0	228
0	228
0	4
0	1
0	3256
0	3127
0	5
0	56
0	195
0	95
0	18
0	86
0	242
0	701
0	31
0	2
0	11
0	2
0	1
0	2
0	0
0	1
0	5
0	148
0	128
0	146
0	141
0	146
0	151
0	143
0	24
0	114
0	60
0	41
0	45
0	18
0	17
0	11
0	10
0	7
0	9
0	8
0	12
0	0
0	0
0	0
0	0
0	0
0	16
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	6
0	2
0	1
0	1
0	1
0	0
0	7127
0	6039
0	6549
0	2889
0	2174
0	2413
0	2064
0	777
0	777
0	6
0	5
0	8
0	4
0	4
0	13
0	742
0	750
0	733
0	519
0	549
0	454
0	446
0	148
0	402
0	318
0	89
0	126
0	200
0	138
0	134
0	18
0	62
0	67
0	80
0	11
0	7
0	17
0	117
0	88
0	131
0	116
0	17
0	114
0	4
0	37
0	702
0	717
0	489
0	445
0	38
0	72
0	110
0	14
0	207
0	84
0	85
0	36
0	11
0	0
0	259
0	105
0	35
0	153
0	123
0	707
0	1107
0	1103
0	803
0	663
0	1150
0	209
0	908
0	806
0	814
0	599
0	773
0	1107
0	823
0	747
0	979
0	1015
0	364
0	212
0	185
0	844
0	238
0	316
0	284
0	189
0	212
0	431
0	39
0	87
0	419
0	216
0	199
0	332
0	297
0	297
0	20
0	24
0	168
0	324
0	240
0	169
0	227
0	222
0	154
0	115
0	95
0	122
0	12
0	19
0	10
0	0
0	28
0	151
0	427
0	44
0	10
0	1247
0	1233
0	836
0	284
0	333
0	170
0	102
0	129
0	0
0	7575
0	11403
0	12697
0	9167
0	12191
0	3795
0	2713
0	4096
0	477
0	164
0	988
0	1024
0	964
0	1003
0	154
0	22
0	0
0	2750
0	2776
0	1789
0	3318
0	5580
0	3536
0	2282
0	4252
0	4335
0	1897
0	2417
0	762
0	745
0	629
0	853
0	1399
0	197
0	512
0	74
0	233
0	104
0	294
0	325
0	31
0	26
0	294
0	299
0	112
0	790
0	298
0	602
0	64
0	389
0	160
0	6
0	165
0	15
0	15
0	18
0	6
0	2
0	1
0	1
0	0
0	0
0	0
0	0
0	31
0	75
0	113
0	11
0	79
0	0
0	1
0	406
0	438
0	81
0	251
0	232
0	6
0	1
0	725
0	703
0	697
0	697
0	18
0	95
0	120
0	70
0	67
0	28
0	2564
0	1696
0	679
0	379
0	41
0	110
0	0
0	109
0	65
0	878
0	890
0	781
0	903
0	926
0	827
0	877
0	99
0	99
0	872
0	94
0	705
0	41
0	21
0	141
0	878
0	649
0	89
0	781
0	720
0	52
0	48
0	680
0	126
0	44
0	57
0	169
0	210
0	215
0	142
0	61
0	67
0	355
0	56
0	219
0	328
0	266
0	187
0	198
0	173
0	68
0	47
0	1776
0	1656
0	1391
0	1600
0	1478
0	1363
0	1363
0	1363
0	314
0	49
0	484
0	2717
0	2673
0	1071
0	512
0	26
0	4
0	337
0	931
0	289
0	751
0	867
0	737
0	909
0	800
0	847
0	904
0	853
0	80
0	130
0	34
0	1
0	102
0	8
0	21
0	156
0	121
0	105
0	19
0	31
0	31
0	926
0	4
0	259
0	5
0	6
0	386
0	405
0	1829
0	45
0	328
0	226
0	2374
0	2345
0	2138
0	1129
0	37
0	444
0	228
0	163
0	355
0	179
0	127
0	239
0	411
0	275
0	273
0	152
0	0
0	10757
0	9641
0	11106
0	1861
0	3261
0	1581
0	2118
0	1250
0	38
0	265
0	3
0	5
0	5
0	15
0	5
0	4
0	4
0	1
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	12
0	0
0	0
0	20
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	30
0	1
0	0
0	0
0	0
0	0
0	0
0	76
0	0
0	0
0	0
0	0
0	0
0	76
0	0
0	26
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	1
0	0
0	76
0	1
0	16
0	74
0	3
0	45
0	24
0	12
0	316
0	369
0	534
0	589
0	353
0	495
0	319
0	479
0	492
0	514
0	473
0	218
0	337
0	4
0	2
0	2
0	2999
0	0
0	74
0	119
0	52
0	46
0	57
0	3
0	33
0	12
0	55
0	35
0	24
0	6
0	8
0	0
0	37
0	2
0	1
0	3005
0	439
0	3628
0	1040
0	92
0	2059
0	859
0	1614
0	466
0	1347
0	807
0	726
0	681
0	144
0	59
0	33
0	30
0	29
0	0
0	2
0	2
0	2
0	3
0	2
0	2
0	1
0	0
0	1
0	436
0	384
0	283
0	86
0	35
0	13
0	22
0	53
0	97
0	36
0	7
0	23
0	0
0	0
0	0
0	4
0	3
0	52
0	3
0	4
0	24
0	144
0	170
0	176
0	169
0	153
0	378
0	260
0	130
0	125
0	173
0	370
0	320
0	58
0	109
0	0
0	56
0	2
0	2
0	109
0	112
0	508
0	485
0	534
0	503
0	104
0	55
0	135
0	530
0	146
0	59
0	39
0	62
0	482
0	40
0	435
0	54
0	54
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	15
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	3
0	0
0	1
0	2
0	25
0	1
0	36
0	25
0	46
0	20
0	0
0	25
0	5
0	2
0	0
0	0
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	515
0	593
0	52
0	476
0	65
0	73
0	20
0	0
0	9
0	2297
0	1968
0	385
0	381
0	107
0	185
0	79
0	48
0	19
0	149
0	134
0	43
0	7
0	7
0	0
0	7
0	7
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	180
0	19
0	474
0	420
0	534
0	1014
0	340
0	7
0	621
0	16
0	649
0	712
0	838
0	777
0	399
0	514
0	527
0	503
0	554
0	666
0	475
0	92
0	214
0	71
0	553
0	482
0	130
0	427
0	45
0	2
0	32
0	0
0	0
0	9
0	6
0	11
0	3
0	1014
0	174
0	67
0	0
0	25
0	892
0	28
0	112
0	121
0	40
0	53
0	311
0	29
0	89
0	37
0	94
0	9
0	126
0	125
0	121
0	121
0	119
0	122
0	119
0	118
0	11
0	7
0	13
0	514
0	549
0	534
0	0
0	22
0	10
0	0
0	0
0	3
0	0
0	0
0	0
0	2
0	0
0	0
0	51
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	77
0	76
0	262
0	273
0	291
0	230
0	5
0	11
0	17
0	158
0	16
0	20
0	243
0	1
0	72
0	9
0	1
0	235
0	236
0	49
0	51
0	69
0	7
0	236
0	0
0	4
0	221
0	90
0	0
0	30
0	10
0	0
0	6
0	3
0	7
0	2
0	3570
0	10254
0	6511
0	6282
0	5687
0	4636
0	3611
0	3556
0	2
0	28
0	7
0	141
0	13
0	120
0	0
0	2
0	13
0	14
0	3896
0	55
0	2371
0	918
0	21
0	4
0	3
0	0
0	560
0	688
0	648
0	642
0	666
0	642
0	642
0	694
0	694
0	382
0	1
0	0
0	31
0	0
0	0
0	47
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	23
0	41
0	64
0	25
0	25
0	24
0	24
0	21
0	20
0	12
0	17
0	15
0	11
0	18
0	14
0	2
0	10
0	7
0	6
0	11
0	1
0	199
0	209
0	209
0	209
0	211
0	210
0	128
0	176
0	198
0	200
0	200
0	146
0	0
0	540
0	54
0	29
0	16
0	10
0	0
0	0
0	2
0	3
0	1
0	2
0	84
0	76
0	235
0	55
0	158
0	72
0	94
0	38
0	2502
0	2763
0	487
0	406
0	425
0	239
0	846
0	111
0	229
0	0
0	189
0	585
0	115
0	120
0	119
0	27
0	919
0	478
0	1545
0	979
0	183
0	338
0	251
0	82
0	224
0	150
0	89
0	15
0	0
0	5
0	0
0	0
0	49
0	3
0	143
0	178
0	215
0	293
0	149
0	143
0	183
0	130
0	88
0	88
0	85
0	42
0	10
0	2
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	4753
0	825
0	183
0	8
0	27
0	98
0	99
0	98
0	95
0	4
0	1
0	3
0	7
0	2
0	7
0	0
0	0
0	25
0	1
0	0
0	0
0	0
0	2334
0	625
0	3130
0	3059
0	1967
0	1218
0	2963
0	2703
0	1120
0	1595
0	0
0	27
0	29
0	2
0	266
0	7581
0	3187
0	1824
0	1146
0	3
0	13
0	0
0	0
0	0
0	0
0	1
0	0
0	332
0	315
0	223
0	84
0	1
0	4218
0	4112
0	110
0	914
0	2936
0	2879
0	228
0	134
0	286
0	51
0	37
0	30
0	62
0	164
0	10
0	17
0	9
0	17
0	4
0	3
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	1
0	31705
0	31739
0	25676
0	28220
0	29735
0	23206
0	8020
0	8274
0	6807
0	5263
0	4506
0	3077
0	1978
0	1833
0	3539
0	3829
0	17
0	0
0	1
0	0
0	2
0	2
0	0
0	0
0	0
0	17
0	0
0	0
0	0
0	0
0	0
0	360
0	12
0	92
0	74
0	74
0	74
0	75
0	59
0	50
0	17
0	0
0	197
0	0
0	5
0	601
0	26
0	10
0	14
0	0
0	37
0	99
0	62
0	8891
0	5703
0	2423
0	670
0	233
0	358
0	293
0	4
0	60
0	17
0	13
0	0
0	0
0	189
0	4
0	138
0	92
0	81
0	0
0	14
0	679
0	699
0	758
0	0
0	439
0	459
0	17
0	32
0	0
0	0
0	71
0	10813
0	10395
0	4055
0	9202
0	10644
0	527
0	0
0	22
0	0
0	319
0	147
0	99
0	79
0	9
0	1
0	74
0	443
0	294
0	224
0	21
0	6
0	148
0	468
0	286
0	34
0	16
0	0
0	0
0	0
0	27
0	4
0	0
0	2672
0	277
0	2692
0	37
0	358
0	316
0	252
0	131
0	384
0	26
0	0
0	0
0	0
0	1621
0	882
0	1054
0	1353
0	934
0	916
0	915
0	2
0	26
0	31
0	31
0	116
