Name	Fraction	Experiment
121026OTc2_TDM-AU-0324-NKI-42_010	1	OR-36
121004OTc2_TDM-AU-0324-N-1_008	1	OR-29
121004OTc2_TDM-AU-0324-N-2_017	1	OR-04
121004OTc2_TDM-AU-0324-N-3_028	1	OR-38
121004OTc2_TDM-AU-0324-NKI-1_014	1	OR-40
121004OTc2_TDM-AU-0324-NKI-2_025	1	OR-17
121004OTc2_TDM-AU-0324-NKI-3_034	1	OR-42
121004OTc2_TDM-AU-0324-NKI-4_037	1	PD-09
121004OTc2_TDM-AU-0324-NKI-5_040	1	PD-20
121004OTc2_TDM-AU-0324-NKI-6_051	1	OR-34
121008OTc2_TDM-AU-0324-N-5_017	1	OR-22
121008OTc2_TDM-AU-0324-NKI-7_003	1	PD-08
121008OTc2_TDM-AU-0324-NKI-8_006	1	OR-19
121008OTc2_TDM-AU-0324-NKI-9_009	1	PD-15
121008OTc2_TDM-AU-0324-NKI-10_012	1	OR-08
121010OTc2_TDM-AU-0324-N-7_015	1	OR-05
121010OTc2_TDM-AU-0324-N-8_018	1	OR-21
121010OTc2_TDM-AU-0324-N-11_055	1	OR-09
121010OTc2_TDM-AU-0324-NKI-11_003	1	OR-47
121010OTc2_TDM-AU-0324-NKI-12_006	1	PD-13
121010OTc2_TDM-AU-0324-NKI-13_009	1	OR-20
121010OTc2_TDM-AU-0324-NKI-14_012	1	OR-18
121010OTc2_TDM-AU-0324-NKI-15_032	1	PD-03
121010OTc2_TDM-AU-0324-NKI-16_035	1	OR-37
121010OTc2_TDM-AU-0324-NKI-17_038	1	OR-03
121010OTc2_TDM-AU-0324-NKI-18_043	1	PD-06
121010OTc2_TDM-AU-0324-NKI-19_046	1	OR-23
121010OTc2_TDM-AU-0324-NKI-20_049	1	OR-24
121010OTc2_TDM-AU-0324-NKI-21_052	1	PD-18
121010OTc2_TDM-AU-0324-NKI-22_063	1	OR-31
121010OTc2_TDM-AU-0324-NKI-23_066	1	OR-11
121010OTc2_TDM-AU-0324-NKI-24_075	1	OR-45
121010OTc2_TDM-AU-0324-NKI-25_078	1	OR-43
121016OTc2_TDM-AU-0324-N-12_003	1	PD-17
121016OTc2_TDM-AU-0324-N-13_009	1	OR-39
121016OTc2_TDM-AU-0324-NKI-26_006	1	PD-02
121019OTc2_TDM-AU-0324-N-14_005	1	OR-46
121019OTc2_TDM-AU-0324-N-16_020	1	OR-07
121019OTc2_TDM-AU-0324-N-17_028	1	PD-10
121019OTc2_TDM-AU-0324-N-18_037	1	PD-12
121019OTc2_TDM-AU-0324-N-19_046	1	OR-01
121019OTc2_TDM-AU-0324-NKI-28_008	1	OR-12
121019OTc2_TDM-AU-0324-NKI-29_016	1	OR-35
121019OTc2_TDM-AU-0324-NKI-30_024	1	PD-07
121019OTc2_TDM-AU-0324-NKI-31_031	1	OR-14
121019OTc2_TDM-AU-0324-NKI-32_042	1	PD-04
121019OTc2_TDM-AU-0324-NKI-33_054	1	OR-26
121019OTc2_TDM-AU-0324-NKI-34_058	1	OR-02
121019OTc2_TDM-AU-0324-NKI-35_061	1	OR-33
121024OTc2_TDM-AU-0324-N-22_021	1	OR-10
121024OTc2_TDM-AU-0324-NKI-36_008	1	OR-13
121024OTc2_TDM-AU-0324-NKI-37_016	1	OR-15
121024OTc2_TDM-AU-0324-NKI-38_025	1	PD-11
121024OTc2_TDM-AU-0324-NKI-39_033	1	OR-25
121026OTc2_TDM-AU-0324-NKI-40_004	1	OR-27
121026OTc2_TDM-AU-0324-NKI-41_007	1	OR-30
