Protein IDs	Only identified by site
A2A432	
A2A4P0	
A2A5R2	
A2A6A1	
A2A8L1	
A2A8U2	
A2A8Z1	
A2AB59	
A2ABV5	
A2ADA5	
A2ADY9	
A2AF47	
A2AFE9	+
A2AGT5	
A2AIV2;REV__Q9Z108	
A2AJI0	
A2AJT4	
A2AKG8	
A2AKX3	
A2AL36	
A2AM29	
A2AN08	
A2APV2	+
A2APY7	
A2AQ19	
A2AR02	
A2ASS6	
A2AWA9	
A2BDX3	
A2BE28	
A2BH40	
A2RSY6	
A2RTL5	
A3KGB4	
A3KGF7	
A3KGV1	
A3KMP2	
A6H5Y3	
A6H630;REV__Q8BID6	
A6H6A9	
A6PWY4	
A8C756	
B1AVY7	
B1AVZ0	
B1AY13	
B1AZI6	
B1AZP2	
B2RQC6;Q8C196	
B2RRE7	
B2RUP2	
B2RWS6	
B2RX14	
B2RXC1	
B2RXR6	
B2RY56	
B7ZMP1	
B8ZXI1	
B9EKR1	
C3VPR6	
CON__A2A5Y0;Q61765;CON__REFSEQ:XP_986630;Q61897;CON__Q92764;CON__Q497I4;CON__O76014;Q497I4	
CON__A2I7N0	
CON__A2I7N1	
CON__A2I7N3	
CON__A3EZ82	
CON__ENSEMBL:ENSBTAP00000006074	
CON__ENSEMBL:ENSBTAP00000007350	
CON__ENSEMBL:ENSBTAP00000011227	
CON__ENSEMBL:ENSBTAP00000013050;Q8R121	
CON__ENSEMBL:ENSBTAP00000014147	
CON__ENSEMBL:ENSBTAP00000016046;Q08879	
CON__ENSEMBL:ENSBTAP00000016285;Q8VCS0	
CON__ENSEMBL:ENSBTAP00000018229	
CON__ENSEMBL:ENSBTAP00000018574	
CON__ENSEMBL:ENSBTAP00000023055	
CON__ENSEMBL:ENSBTAP00000023402	
CON__ENSEMBL:ENSBTAP00000024146;P28665	
CON__ENSEMBL:ENSBTAP00000024462	
CON__ENSEMBL:ENSBTAP00000024466	
CON__ENSEMBL:ENSBTAP00000025008;A2AQ07	
CON__ENSEMBL:ENSBTAP00000031360	
CON__ENSEMBL:ENSBTAP00000031900	
CON__ENSEMBL:ENSBTAP00000032840	
CON__ENSEMBL:ENSBTAP00000033053	
CON__ENSEMBL:ENSBTAP00000034412	
CON__ENSEMBL:ENSBTAP00000037665	
CON__ENSEMBL:ENSBTAP00000038253	+
CON__ENSEMBL:ENSBTAP00000038329	
CON__O76013	
CON__P00735;P19221	
CON__P00761	
CON__P00978;Q07456	
CON__P01030	
CON__P01044-1;O08677	
CON__P01045-1	
CON__P01966;P06467	
CON__P02070	
CON__P02533;CON__Q6IFX2;Q6IFX2;CON__Q61782;CON__P35900;CON__Q9D312;Q9D312;CON__Q8N1A0	
CON__P02538	
CON__P02584	
CON__P02662	
CON__P02663	
CON__P02666	
CON__P02668	
CON__P02672	
CON__P02676	
CON__P02754	
CON__P02768-1	
CON__P02769	
CON__P02777	
CON__P04258;P08121	
CON__P04259	
CON__P04264;CON__Q6KB66-1;P03995	
CON__P06868	
CON__P07224;Q08761	
CON__P07477	
CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8;Q9Z2K1;Q9WTL4	
CON__P12763	
CON__P13645;CON__Q7Z3Y7;CON__Q148H6;CON__P05784;CON__Q7Z3Z0;CON__Q99456;P05784;CON__A2AB72;CON__O76015;Q62168;Q6IFX3;Q8VCW2;Q9Z320;A6BLY7;B1AQ75;A1L317	
CON__P13646-1	
CON__P13647	
CON__P15497;Q00623	
CON__P17690;Q01339	
CON__P17697	
CON__P19013	
CON__P20930	
CON__P28800	
CON__P34955	
CON__P35527	
CON__P35908;CON__Q9R0H5;Q6IFZ9;Q9R0H5	
CON__P41361	
CON__P48668;CON__Q8VED5;Q8VED5;CON__H-INV:HIT000016045;CON__REFSEQ:XP_932229	
CON__P50448;P97290	
CON__P62894	+
CON__Q6NT21;CON__P78385	
CON__P81644	
CON__Q01546	+
CON__Q03247	
CON__Q04695	
CON__Q05443;P51885	
CON__Q05B55	
CON__Q0IIK2;CON__Q29443	
CON__Q0V8M9;Q61704	
CON__Q0VCM5;Q61702	
CON__Q1A7A4	
CON__Q1RMK2	
CON__Q1RMN8	
CON__Q28065	
CON__Q28085	
CON__Q28107;O88783	
CON__Q28194;Q05895;Q03350	
CON__Q29RQ1	
CON__Q2HJF0;Q9DBD0	
CON__Q2KIF2	
CON__Q2KIG3;Q9JHH6	
CON__Q2KIS7	
CON__Q2KIT0	
CON__Q2KIU3	
CON__Q2KJ62	
CON__Q2KJ83;Q9JJN5	
CON__Q2KJC7	
CON__Q2KJF1	
CON__Q2TBQ1;Q07968	
CON__Q2UVX4	
CON__Q32MB2;CON__Q3SY84	
CON__Q32PI4	
CON__Q32PJ2	
CON__Q3KUS7;P04186	
CON__Q3MHH8;P00687;P00688	
CON__Q3MHN2	
CON__Q3MHN5	
CON__Q3SX09;P02104	
CON__Q3SX14	
CON__Q3SZ57	
CON__Q3SZH5	
CON__Q3SZR3	
CON__Q3SZV7	
CON__Q3T052;A6X935	
CON__Q3Y5Z3	
CON__Q3ZBD7	
CON__Q3ZBS7	
CON__Q58D62	
CON__Q5D862	
CON__Q6IFZ6;Q6IFZ6	
CON__Q9NSB2;CON__Q6ISB0	
CON__Q6T181	
