Protein IDs	Only identified by site
A0A024QZX5;A0A087X1N8;P35237	
A0A024R161;Q9H1X3-3;F2Z3D1;J3QR79	
A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5;H7C2D1;H7BZC3;C9JZI8;C9JHZ8;C9JES8;C9JHS7;C9JT62;C9JK79;C9JBS3;C9JEJ8;A0A0E3D6N3;C9JHN6;C9JMQ6;C9JQ82;C9JHS9;C9J739;H7C3D0	
Q9BXJ8;A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2;A0A087WZF4;A0A087WV11	
O75503;A0A024R644;A0A087WZY0	
A0A024R6I7;A0A0G2JRN3;G3V544;A0A0B4J278;G3V5R8;G3V387;A0A0G2JPK4	
O00748;A0A024R6X1;O00748-2;J3QSC0;J3QLP1;A0A0C4DGH1;Q5XG92-2	
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	
A0A024RAC6;Q14241	
Q96BI1;E9PRM7;A0A024RCG2	
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1;A0A087WXM4	
G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;Q9UMR5-2;Q9UMR5;Q9UMR5-3;A0A0G2JLK6;A2ABN7;A0A0G2JK07;A0A0G2JID8	
P46379;A0A024RCR6;A0A0G2JK23;P46379-2;P46379-3;A0A0G2JL47;P46379-5;P46379-4;F6S6P2;X6REW1;A0A0G2JJM1;F6UR09;A0A0G2JJR8;F6VEM6;F6X9W3;F6U341;F6U1F2;F6XTU0;F6WML8;H0Y710;F6TC96;H0Y4L1	
Q14135;G5E9M7;G5E9M9;A0A075B6E4;A0A0A6YYI5;Q14135-5;Q14135-6;Q14135-2;Q14135-4;F8W708;E7ERW0;E7EQU6;E7EWF5	
A0A075B6E5	
O14522;O14522-1;B1AJS0;B1AJR8;B1AJR9;A0A075B6H0;A0A087WY22;A0A087X1X2;B1AJR6;A0A087WWD6	+
A0A075B6H3;Q5TGY1;Q5TGY1-2	
A0A075B6H9;A0A075B6K6	
A0A075B6I0	
A0A075B6I1	
A0A075B6I2;P06319	
A0A075B6I5;P01702;P06316	
A0A075B6I8;A0A0G2JQC2;A0A0B4J1U1	
A0A075B6I9	
A0A075B6J0	
A0A075B6J1	
A0A075B6J4	
A0A075B6J7;P01720	
A0A075B6J8	
A0A075B6J9	
A0A075B6K0	
A0A075B6K1	
A0A075B6K2	
A0A075B6K3	
A0A075B6K4	
A0A075B6K5	
A0A075B6L0;A0A075B6K9;P0CG05;P0CG06;P0CF74	
A0A075B6Q3;Q5H9F3-3;Q5H9F3;Q5H9F3-2;H7C4B2;H7C231;H7BZ37;H7C2V9;A6NE70	
